"","X1","Drone-Mite Survivorship (%)","Forager Lifespan (days)","Queen Strength","Worker to Drone","Worker-Mite Survivorship (%)","Adult Slope Contact","Adult LD50 Contact","Larva slope","Larva LD50","KOW","KOC","Half life"
"X1999.2","Foragers",-0.0431357657989208,0.836654811527529,0.261881521125525,0.00720472892632503,-0.00786011268760969,-0.023502319444731,0.0122749554972919,-0.0330726903507586,0.00972985173119453,-0.0433342071569674,-0.0101434662611952,0.00773984166061865
"X2000.2","Foragers",0.0315414638199019,0.788242883546847,0.835440914463481,0.0250250076685705,0.0104273757398889,0.0243379922334042,-0.0452487467577926,0.0233402091165506,-0.023659244140769,0.0120650541282982,0.0316995657893623,0.0149125734132598
"X2001.2","Foragers",0.0381461898341404,0.58359252431419,0.799253672217417,0.0563412418312351,-0.00766786447127589,-0.00545384444572236,-0.005805771375064,-0.00654330853667259,0.0721368585800622,0.0099357508993489,0.0279152166689559,-0.035750840607337
"X2002.2","Foragers",0.0232416245078659,0.560899850298313,0.516441903910603,0.0414467029421944,-0.00953960190451081,-0.0577494496184002,-0.0257633334282482,0.00448579899459095,0.144251100698215,0.00334980666722848,0.017604500992997,-0.0436285741901492
"X2003.2","Foragers",-0.0196407892871311,0.854897262852499,0.810874719572765,0.0720893356056311,0.000644777340507482,-0.0590000234423389,-0.00909933136945384,-0.00572955288982531,0.175002324356516,-0.00724682354888921,0.0562101503667571,-0.00116294545705828
"X1999.3","Worker Eggs",-0.0233149403448274,0.876313963231834,0.817149841372418,0.0124066038543521,0.0276084124136264,0.0202378215758619,0.0649210181680082,0.00304873156676333,-0.011509588639276,0.00305330624387882,0.0917272264463614,0.01813281593688
"X2000.3","Worker Eggs",0.00593642705699523,0.54603447677131,0.963904807480766,0.0198658163513154,0.0182598387560158,-0.0127096642729921,-0.0262122139394022,0.00384543503664599,-0.033406680417332,0.0308939218970937,0.020437084472631,0.033269612029364
"X2001.3","Worker Eggs",0.0402920034279877,0.567313906570789,0.921762695511119,0.0439790497127207,-0.0112061758260493,-0.0186512098512999,-0.000960432331222254,-0.0220954928774205,0.055075345996095,0.024698448809159,0.0501837210717155,-0.0179335281856331
"X2002.3","Worker Eggs",0.0207030751264554,0.549353908098066,0.737399895255445,0.0242222679020037,-0.00500780205214601,-0.0735796901355883,-0.0268394561037675,0.0106023860905789,0.122692779060927,0.0147394791785824,0.0278748734632326,-0.0327447669972196
"X2003.3","Worker Eggs",-0.0137254044993669,0.825294142981486,0.937135775085455,0.0408262659779747,0.0111874912228464,-0.042338766202992,-0.0189201940088944,0.00666712271992858,0.130756363417724,0.00839589832626838,0.054934388519158,0.0245536829265294
"X1999.4","Colony Pollen (g)",0.038313005469,0.956955728727727,-0.577886201269596,-0.0351399191858819,0.0398619939681167,0.0260257725902122,0.0165965754668671,0.0625473488865308,-0.0463697759391083,0.00852168977410504,0.0205201956796332,0.00446191314506722
"X2000.4","Colony Pollen (g)",0.0608171917168723,0.56398883344046,-0.442165363081142,-0.0380051313481999,-0.0579944334862768,0.025555139839924,-0.0251791871110686,0.0229765525562468,0.029998930813196,-0.0091406406280458,-0.00835216821257362,-0.0330485646546465
"X2001.4","Colony Pollen (g)",0.0224538425776422,0.400038712000784,-0.297936236125752,-0.0189928271129516,-0.00830627885774645,0.000442069709875143,0.00377978991920246,0.0251940832158266,0.00363297081719513,-0.0118628686548538,0.00592065015106362,-0.0249097146706531
"X2002.4","Colony Pollen (g)",-0.0250186377241549,0.790944502698921,0.0553620326646306,0.0401678789781516,-0.0199963805099706,-0.0785022529147586,0.0366034525696843,-0.0184332616229682,0.0716458048184661,0.0151927975297502,0.00796620458984858,-0.0286027836655838
"X2003.4","Colony Pollen (g)",-0.0214772545516844,0.77166884597302,0.555439062700578,0.0622204720738839,0.00263707279660455,0.0524501678706875,0.00755210854379976,0.0285248594349082,-0.0207964017139716,-0.00660027901655185,0.0334072941296853,0.0031907727673987
"X1999.5","Colony Nectar (g)",0.0220409207016831,0.967477530942251,0.0131543471348087,-0.0244348941723448,0.0102858729492745,0.0501614253926504,0.0172540540150341,0.0402830322021403,-0.0492048845708422,0.00298645835297928,0.0423839117595266,0.00764161060430438
"X2000.5","Colony Nectar (g)",0.0281042024820483,0.876958022245076,0.0340409097717448,-0.0259527236182883,-0.0241455060086371,-0.0142335977123274,-0.0292576896689074,0.000487748708022057,-0.0181541677219156,0.0122080516543801,-0.0465345908442017,-0.0106632291652718
"X2001.5","Colony Nectar (g)",0.0407141856988559,0.683662155486803,-0.598626049763821,-0.0257586496505071,-0.0157155269360359,0.00803546004110768,0.000880378582710222,-0.00510584656686195,-0.0264681144210017,0.0149626592459426,0.00641570443738823,-0.0417843837693665
"X2002.5","Colony Nectar (g)",0.0208650833961712,0.840762603674109,0.531233709280295,0.0634479567509561,-0.00591288876970054,-0.0741050528943449,-0.00998440371252876,0.00389548769768186,0.154311766767371,0.00613158499533906,0.0270852188168574,-0.0536126710123863
"X2003.5","Colony Nectar (g)",0.00321211515355211,0.835309620997425,0.693727191336116,0.0722479742501861,-0.00327994376493726,-0.0296124370203787,-0.00702777602966281,0.00927821229006901,0.125302686157236,0.000811869255441878,0.0373044763724054,-0.030593618175598
