"","X1","Drone-Mite Survivorship (%)","Forager Lifespan (days)","Queen Strength","Worker to Drone","Worker-Mite Survivorship (%)","Adult Slope Contact","Adult LD50 Contact","Larva slope","Larva LD50","KOW","KOC","Half life"
"X2001.3","Worker Eggs",-0.0171491422603241,0.25644624522221,0.879804917606252,-0.0203065463330536,-0.0144301385398549,0.0193127017991202,0.00298486036383083,-0.00203295095544571,0.00287564260834389,0.00460520671171356,-0.0035452777249213,-0.0034393267791539
"X2002.3","Worker Eggs",-0.00063630277193343,0.388207437097461,0.671398994558184,-0.02673972415801,-0.0235073886782277,0.0073437328154639,0.0292211847636556,-0.00366495896580251,0.0647297303158225,-0.0110724335973405,0.0087218826382208,-0.00361378819376262
"X2003.3","Worker Eggs",-0.00564711264930297,0.457927812711544,0.80987382223157,-0.022894544973157,-0.0120032202692017,0.010090865948847,0.021362375889771,-0.00953310448246158,0.0459368984728924,0.00587200637391844,0.00717635133502483,0.00505616520735249
"X1999.4","Colony Pollen (g)",0.00192079757425953,0.942828591687525,-0.198679854272186,-0.0134876745192754,0.010997048122379,0.00636522839115263,0.00916829910207887,0.00231571027230399,0.0075398395521345,-0.00606205704909571,0.0181447731443397,-0.0021958652837067
"X2000.4","Colony Pollen (g)",0.0639105663646282,0.521899704298997,-0.374807526134226,0.010199467663692,-0.00194426993497591,-0.00477349004743565,-0.02225735615155,0.0379647166575414,-0.00318063459082447,0.0320456774678815,-0.0175372083482626,-0.0101950520123593
"X2001.4","Colony Pollen (g)",0.0291871847854755,0.370606293391046,-0.304161160522985,-0.00148869755904645,-0.00860411838664406,-0.0305828672334858,-0.0139736013547518,0.0262205508179817,-0.0793827577690273,0.0457126530733659,-0.0410119881334307,-0.0143875962093758
"X2002.4","Colony Pollen (g)",-0.0345307190814569,0.785419541077394,0.0396696133270798,0.0124899835532717,-0.00664239869342736,-0.0625211042394194,-0.0101064999456509,-0.0120786044804438,-0.0278919905167942,0.0367899300722747,-0.0241950090959389,-0.00406067972366071
"X2003.4","Colony Pollen (g)",-0.0493748590608363,0.709667060843699,0.37238472496787,0.00129807363682458,-0.0048588697693896,0.00352099666707107,7.14232914055349e-05,-0.0117879096911296,-0.0496964465816212,0.0340153629831208,-0.00981757222039014,0.00706014899662969
"X1999.5","Colony Nectar (g)",-0.00083343608781787,0.968786595887228,-0.00255172369910792,-0.0118426320258254,0.00943321083421418,0.00720425207704014,0.0077501185479562,0.00791584461710538,0.000101588970507269,-0.000296593305993069,0.0147850708242487,0.00984347649437453
"X2000.5","Colony Nectar (g)",0.0299088442825694,0.888287586533452,0.0148089571373339,0.00121422425600792,-0.0029053394117035,-0.00344155227700805,-0.00944135158336227,-0.000239753243511898,-0.0126873919542382,0.00174842835936596,-0.0171397301385474,-0.00785110497069191
"X2001.5","Colony Nectar (g)",0.00256110899281194,0.617172073293834,-0.4546408763845,0.00534071334788988,0.00325695575019341,-0.0155621548781634,-0.0180392051468071,0.018897604740801,-0.0429068493358217,-0.00267188058616162,-0.0107753006903525,-0.000982431870885735
"X2002.5","Colony Nectar (g)",-0.0270412535800137,0.776062998786725,0.324430503403839,-0.0119070447235777,-0.0143977547068398,-0.017981828845976,0.0137845122733205,-0.0138989047715949,0.0398851440453322,0.00310372112145866,-0.00456499847304704,0.00293195962267583
"X2003.5","Colony Nectar (g)",-0.0363338394952214,0.718112704780545,0.458407553737121,-0.0111428176783808,-0.0127940250989113,0.000102918733874491,0.0102683331228812,-0.00880063993747881,0.0287569961893288,0.00931731496471222,0.0019994465297529,0.00290211315083158
